time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20130527T015223,1.29365,0,0,1.29415,0,0
20130527T015248,1.2936,0,0,1.2941,0,0
20130527T015254,1.29355,0,0,1.29405,0,0
20130527T015256,1.2935,0,0,1.294,0,0
20130527T015306,1.29355,0,0,1.29405,0,0
20130527T015314,1.2936,0,0,1.2941,0,0
20130527T015315,1.29365,0,0,1.29415,0,0
20130527T015354,1.2937,0,0,1.2942,0,0
20130527T015400,1.29365,0,0,1.29415,0,0
20130527T015422,1.2937,0,0,1.2942,0,0
20130527T015443,1.29365,0,0,1.29415,0,0
20130527T015445,1.2936,0,0,1.2941,0,0
20130527T015451,1.29365,0,0,1.29415,0,0
20130527T015451,1.29358,0,0,1.29408,0,0
20130527T015457,1.29363,0,0,1.29413,0,0
20130527T015500,1.29367,0,0,1.29417,0,0
20130527T015502,1.29363,0,0,1.29413,0,0
20130527T015509,1.29358,0,0,1.29408,0,0
20130527T015516,1.2935,0,0,1.294,0,0
20130527T015544,1.29345,0,0,1.29395,0,0
20130527T015544,1.2934,0,0,1.2939,0,0
20130527T015824,1.29347,0,0,1.29397,0,0
20130527T015850,1.29343,0,0,1.29393,0,0
20130527T015901,1.29333,0,0,1.29383,0,0
20130527T015920,1.29338,0,0,1.29388,0,0
20130527T015920,1.29333,0,0,1.29383,0,0
20130527T015924,1.29338,0,0,1.29388,0,0
20130527T020003,1.29333,0,0,1.29383,0,0
20130527T020005,1.29328,0,0,1.29378,0,0
20130527T020011,1.29323,0,0,1.29373,0,0
20130527T020048,1.29318,0,0,1.29368,0,0
20130527T020048,1.29312,0,0,1.29362,0,0
20130527T020051,1.29305,0,0,1.29355,0,0
20130527T020053,1.2931,0,0,1.2936,0,0
20130527T020059,1.29303,0,0,1.29353,0,0
20130527T020059,1.29292,0,0,1.29342,0,0
20130527T020100,1.29298,0,0,1.29348,0,0
20130527T020112,1.29292,0,0,1.29342,0,0
20130527T020112,1.2928,0,0,1.29345,0,0
20130527T020112,1.29288,0,0,1.29338,0,0
20130527T020115,1.29283,0,0,1.29333,0,0
20130527T020117,1.29275,0,0,1.29325,0,0
20130527T020125,1.2928,0,0,1.2933,0,0
20130527T020136,1.29275,0,0,1.29325,0,0
20130527T020136,1.2928,0,0,1.2933,0,0
20130527T020140,1.29275,0,0,1.29325,0,0
20130527T020206,1.2928,0,0,1.2933,0,0
20130527T020207,1.29285,0,0,1.29335,0,0
20130527T020214,1.2928,0,0,1.2933,0,0
20130527T020221,1.29288,0,0,1.29338,0,0
20130527T020236,1.29283,0,0,1.29333,0,0
20130527T020246,1.29288,0,0,1.29338,0,0
20130527T020248,1.29283,0,0,1.29333,0,0
20130527T020252,1.2929,0,0,1.2934,0,0
20130527T020440,1.29283,0,0,1.29333,0,0
20130527T020455,1.29278,0,0,1.29328,0,0
20130527T020512,1.29283,0,0,1.29333,0,0
20130527T020519,1.29278,0,0,1.29328,0,0
20130527T020522,1.29272,0,0,1.29322,0,0
20130527T020523,1.2928,0,0,1.2933,0,0
20130527T020532,1.29272,0,0,1.29322,0,0
20130527T020557,1.29265,0,0,1.29315,0,0
20130527T020612,1.2927,0,0,1.2932,0,0
20130527T020628,1.29275,0,0,1.29325,0,0
20130527T020643,1.2928,0,0,1.2933,0,0
20130527T020657,1.29275,0,0,1.29325,0,0
20130527T020701,1.29268,0,0,1.29318,0,0
20130527T020702,1.29272,0,0,1.29322,0,0
20130527T020733,1.29268,0,0,1.29318,0,0
20130527T020741,1.29272,0,0,1.29322,0,0
20130527T020744,1.29278,0,0,1.29328,0,0
20130527T020744,1.29285,0,0,1.29335,0,0
20130527T020749,1.2928,0,0,1.2933,0,0
20130527T020749,1.29275,0,0,1.29325,0,0
20130527T020751,1.2927,0,0,1.2932,0,0
20130527T020812,1.29275,0,0,1.29325,0,0
20130527T020812,1.2928,0,0,1.2933,0,0
20130527T020812,1.29285,0,0,1.29335,0,0
20130527T020829,1.2929,0,0,1.2934,0,0
20130527T020829,1.29295,0,0,1.29345,0,0
20130527T020830,1.2929,0,0,1.2934,0,0
20130527T020920,1.29285,0,0,1.29335,0,0
20130527T020921,1.2928,0,0,1.2933,0,0
20130527T020922,1.29275,0,0,1.29325,0,0
20130527T020951,1.2928,0,0,1.2933,0,0
20130527T021002,1.29285,0,0,1.29335,0,0
20130527T021022,1.2928,0,0,1.2933,0,0
20130527T021022,1.29275,0,0,1.29325,0,0
20130527T021042,1.2928,0,0,1.2933,0,0
20130527T021043,1.29275,0,0,1.29325,0,0
20130527T021106,1.2928,0,0,1.2933,0,0
20130527T021106,1.29285,0,0,1.29335,0,0
20130527T021127,1.2929,0,0,1.2934,0,0
20130527T021127,1.29295,0,0,1.29345,0,0
20130527T021127,1.2929,0,0,1.2934,0,0
20130527T021128,1.29285,0,0,1.29335,0,0
20130527T021154,1.29292,0,0,1.29342,0,0
20130527T021155,1.29288,0,0,1.29338,0,0
20130527T021159,1.29283,0,0,1.29333,0,0
20130527T021202,1.29278,0,0,1.29328,0,0
20130527T021235,1.29268,0,0,1.29318,0,0
20130527T021236,1.29263,0,0,1.29313,0,0
20130527T021255,1.29258,0,0,1.29308,0,0
20130527T021255,1.29252,0,0,1.29302,0,0
20130527T021255,1.29245,0,0,1.29295,0,0
20130527T021305,1.2925,0,0,1.293,0,0
20130527T021322,1.29255,0,0,1.29305,0,0
20130527T021339,1.29265,0,0,1.29315,0,0
20130527T021340,1.2927,0,0,1.2932,0,0
20130527T021340,1.29275,0,0,1.29325,0,0
20130527T021418,1.2927,0,0,1.2932,0,0
20130527T021434,1.29265,0,0,1.29315,0,0
20130527T021434,1.29258,0,0,1.29308,0,0
20130527T021434,1.29263,0,0,1.29313,0,0
20130527T021447,1.29255,0,0,1.29305,0,0
20130527T021452,1.29263,0,0,1.29313,0,0
20130527T021452,1.29258,0,0,1.29308,0,0
20130527T021453,1.29265,0,0,1.29315,0,0
20130527T021505,1.29252,0,0,1.29302,0,0
20130527T021506,1.29248,0,0,1.29298,0,0
20130527T021512,1.29252,0,0,1.29302,0,0
20130527T021516,1.29248,0,0,1.29298,0,0
20130527T021522,1.29243,0,0,1.29293,0,0
20130527T021522,1.29238,0,0,1.29288,0,0
20130527T021534,1.29243,0,0,1.29293,0,0
20130527T021540,1.29248,0,0,1.29298,0,0
20130527T021543,1.29243,0,0,1.29293,0,0
20130527T021552,1.29252,0,0,1.29302,0,0
20130527T021552,1.29258,0,0,1.29308,0,0
20130527T021556,1.2925,0,0,1.293,0,0
20130527T021557,1.29258,0,0,1.29308,0,0
20130527T021602,1.29252,0,0,1.29302,0,0
20130527T021614,1.29258,0,0,1.29308,0,0
20130527T021615,1.29265,0,0,1.29315,0,0
20130527T021717,1.2927,0,0,1.2932,0,0
20130527T021717,1.29275,0,0,1.29325,0,0
20130527T021717,1.29285,0,0,1.29335,0,0
20130527T021720,1.29275,0,0,1.29325,0,0
20130527T021840,1.2927,0,0,1.2932,0,0
20130527T021840,1.29265,0,0,1.29315,0,0
20130527T021842,1.2926,0,0,1.2931,0,0
20130527T021843,1.29255,0,0,1.29305,0,0
20130527T021845,1.29245,0,0,1.29295,0,0
20130527T021845,1.2925,0,0,1.293,0,0
20130527T021845,1.29255,0,0,1.29305,0,0
20130527T021852,1.2925,0,0,1.293,0,0
20130527T021855,1.29255,0,0,1.29305,0,0
20130527T021858,1.2926,0,0,1.2931,0,0
20130527T021858,1.29265,0,0,1.29315,0,0
20130527T021911,1.2926,0,0,1.2931,0,0
20130527T021912,1.29255,0,0,1.29305,0,0
20130527T021912,1.2926,0,0,1.2931,0,0
20130527T021916,1.29255,0,0,1.29305,0,0
20130527T021917,1.2925,0,0,1.293,0,0
20130527T021918,1.29245,0,0,1.29295,0,0
20130527T021948,1.2924,0,0,1.2929,0,0
20130527T022012,1.29232,0,0,1.29282,0,0
20130527T022016,1.29238,0,0,1.29288,0,0
20130527T022038,1.29245,0,0,1.29295,0,0
20130527T022045,1.2925,0,0,1.293,0,0
20130527T022101,1.29243,0,0,1.29293,0,0
20130527T022203,1.29248,0,0,1.29298,0,0
20130527T022205,1.29243,0,0,1.29293,0,0
20130527T022216,1.29248,0,0,1.29298,0,0
20130527T022233,1.29243,0,0,1.29293,0,0
20130527T022310,1.29238,0,0,1.29288,0,0
20130527T022312,1.29232,0,0,1.29282,0,0
20130527T022321,1.29228,0,0,1.29278,0,0
20130527T022328,1.29223,0,0,1.29273,0,0
20130527T022328,1.29215,0,0,1.29265,0,0
20130527T022332,1.2922,0,0,1.2927,0,0
20130527T022332,1.29228,0,0,1.29278,0,0
20130527T022351,1.29235,0,0,1.29285,0,0
20130527T022352,1.2924,0,0,1.2929,0,0
20130527T022355,1.29245,0,0,1.29295,0,0
20130527T022432,1.2925,0,0,1.293,0,0
20130527T022432,1.29255,0,0,1.29305,0,0
20130527T022437,1.2926,0,0,1.2931,0,0
20130527T022439,1.29252,0,0,1.29302,0,0
20130527T022439,1.29258,0,0,1.29308,0,0
20130527T022439,1.29252,0,0,1.29302,0,0
20130527T022459,1.29245,0,0,1.29295,0,0
20130527T022500,1.2924,0,0,1.2929,0,0
20130527T022500,1.29235,0,0,1.29285,0,0
20130527T022502,1.2923,0,0,1.2928,0,0
20130527T022503,1.29225,0,0,1.29275,0,0
20130527T022504,1.2922,0,0,1.2927,0,0
20130527T022504,1.29213,0,0,1.29263,0,0
20130527T022505,1.29218,0,0,1.29268,0,0
20130527T022505,1.29213,0,0,1.29263,0,0
20130527T022512,1.29218,0,0,1.29268,0,0
20130527T022515,1.29223,0,0,1.29273,0,0
20130527T022526,1.29218,0,0,1.29268,0,0
20130527T022543,1.29213,0,0,1.29263,0,0
20130527T022606,1.29218,0,0,1.29268,0,0
20130527T022619,1.29213,0,0,1.29263,0,0
20130527T022622,1.29203,0,0,1.29253,0,0
20130527T022632,1.29197,0,0,1.29247,0,0
20130527T022635,1.29205,0,0,1.29255,0,0
20130527T022647,1.2921,0,0,1.2926,0,0
20130527T022649,1.29215,0,0,1.29265,0,0
20130527T022707,1.2921,0,0,1.2926,0,0
20130527T022707,1.29205,0,0,1.29255,0,0
20130527T022710,1.2921,0,0,1.2926,0,0
20130527T022724,1.29205,0,0,1.29255,0,0
20130527T022733,1.292,0,0,1.2925,0,0
20130527T022735,1.29205,0,0,1.29255,0,0
20130527T022738,1.292,0,0,1.2925,0,0
20130527T022749,1.29195,0,0,1.29245,0,0
20130527T022804,1.2919,0,0,1.2924,0,0
20130527T022805,1.29185,0,0,1.29235,0,0
20130527T022806,1.29193,0,0,1.29243,0,0
20130527T022806,1.29197,0,0,1.29247,0,0
20130527T022806,1.29193,0,0,1.29243,0,0
20130527T022811,1.29185,0,0,1.29235,0,0
20130527T022811,1.2919,0,0,1.2924,0,0
20130527T022811,1.29197,0,0,1.29247,0,0
20130527T022817,1.29193,0,0,1.29243,0,0
20130527T022824,1.29197,0,0,1.29247,0,0
20130527T022829,1.29203,0,0,1.29253,0,0
20130527T022835,1.29208,0,0,1.29258,0,0
20130527T022835,1.29213,0,0,1.29263,0,0
20130527T022836,1.29208,0,0,1.29258,0,0
20130527T022857,1.29203,0,0,1.29253,0,0
20130527T023047,1.29197,0,0,1.29247,0,0
20130527T023058,1.29193,0,0,1.29243,0,0
20130527T023059,1.29188,0,0,1.29238,0,0
20130527T023101,1.29193,0,0,1.29243,0,0
20130527T023108,1.29188,0,0,1.29238,0,0
20130527T023111,1.29183,0,0,1.29233,0,0
20130527T023112,1.29188,0,0,1.29238,0,0
20130527T023205,1.29193,0,0,1.29243,0,0
20130527T023230,1.29197,0,0,1.29247,0,0
20130527T023231,1.29205,0,0,1.29255,0,0
20130527T023233,1.292,0,0,1.2925,0,0
20130527T023237,1.29205,0,0,1.29255,0,0
20130527T023255,1.29213,0,0,1.29263,0,0
20130527T023337,1.29218,0,0,1.29268,0,0
20130527T023338,1.29223,0,0,1.29273,0,0
20130527T023341,1.29228,0,0,1.29278,0,0
20130527T023353,1.2922,0,0,1.2927,0,0
20130527T023353,1.29213,0,0,1.29263,0,0
20130527T023353,1.29218,0,0,1.29268,0,0
20130527T023414,1.2921,0,0,1.2926,0,0
20130527T023418,1.29218,0,0,1.29268,0,0
20130527T023425,1.29223,0,0,1.29273,0,0
20130527T023425,1.29228,0,0,1.29278,0,0
20130527T023441,1.29232,0,0,1.29282,0,0
20130527T023448,1.29228,0,0,1.29278,0,0
20130527T023448,1.29223,0,0,1.29273,0,0
20130527T023451,1.29228,0,0,1.29278,0,0
20130527T023453,1.29232,0,0,1.29282,0,0
20130527T023520,1.29228,0,0,1.29278,0,0
20130527T023545,1.29232,0,0,1.29282,0,0
20130527T023548,1.29238,0,0,1.29288,0,0
20130527T023549,1.2923,0,0,1.2928,0,0
20130527T023551,1.29225,0,0,1.29275,0,0
20130527T023602,1.2922,0,0,1.2927,0,0
20130527T023604,1.29215,0,0,1.29265,0,0
20130527T023614,1.2921,0,0,1.2926,0,0
20130527T023618,1.29205,0,0,1.29255,0,0
20130527T023624,1.2921,0,0,1.2926,0,0
20130527T023644,1.29205,0,0,1.29255,0,0
20130527T023644,1.29195,0,0,1.29245,0,0
20130527T023644,1.29203,0,0,1.29253,0,0
20130527T023646,1.29208,0,0,1.29258,0,0
20130527T023648,1.29203,0,0,1.29253,0,0
20130527T023648,1.29195,0,0,1.29245,0,0
20130527T023651,1.2919,0,0,1.2924,0,0
20130527T023652,1.29195,0,0,1.29245,0,0
20130527T023700,1.2918,0,0,1.2923,0,0
20130527T023701,1.29185,0,0,1.29235,0,0
20130527T023701,1.2918,0,0,1.2923,0,0
20130527T023701,1.29185,0,0,1.29235,0,0
20130527T023704,1.2919,0,0,1.2924,0,0
20130527T023707,1.29195,0,0,1.29245,0,0
20130527T023709,1.292,0,0,1.2925,0,0
20130527T023709,1.29208,0,0,1.29258,0,0
20130527T023710,1.29195,0,0,1.29245,0,0
20130527T023710,1.2919,0,0,1.2924,0,0
20130527T023714,1.29197,0,0,1.29247,0,0
20130527T023723,1.29205,0,0,1.29255,0,0
20130527T023723,1.292,0,0,1.2925,0,0
20130527T023736,1.29205,0,0,1.29255,0,0
20130527T023737,1.2921,0,0,1.2926,0,0
20130527T023738,1.29215,0,0,1.29265,0,0
20130527T023739,1.2921,0,0,1.2926,0,0
20130527T023756,1.29218,0,0,1.29268,0,0
20130527T023837,1.29223,0,0,1.29273,0,0
20130527T023907,1.29213,0,0,1.29263,0,0
20130527T023907,1.29205,0,0,1.29255,0,0
20130527T023909,1.292,0,0,1.2925,0,0
20130527T023915,1.29195,0,0,1.29245,0,0
20130527T023917,1.2919,0,0,1.2924,0,0
20130527T023932,1.29195,0,0,1.29245,0,0
20130527T023957,1.292,0,0,1.2925,0,0
20130527T023957,1.29205,0,0,1.29255,0,0
20130527T024009,1.2921,0,0,1.2926,0,0
20130527T024009,1.29215,0,0,1.29265,0,0
20130527T024047,1.2921,0,0,1.2926,0,0
20130527T024137,1.29205,0,0,1.29255,0,0
20130527T024300,1.292,0,0,1.2925,0,0
20130527T024317,1.29205,0,0,1.29255,0,0
20130527T024321,1.292,0,0,1.2925,0,0
20130527T024328,1.29195,0,0,1.29245,0,0
20130527T024330,1.29203,0,0,1.29253,0,0
20130527T024403,1.29195,0,0,1.29245,0,0
20130527T024445,1.2919,0,0,1.2924,0,0
20130527T024445,1.29195,0,0,1.29245,0,0
20130527T024509,1.2919,0,0,1.2924,0,0
20130527T024510,1.29195,0,0,1.29245,0,0
20130527T024517,1.2919,0,0,1.2924,0,0
20130527T024524,1.29183,0,0,1.29233,0,0
20130527T024525,1.29177,0,0,1.29227,0,0
20130527T024538,1.2917,0,0,1.2922,0,0
20130527T024538,1.29175,0,0,1.29225,0,0
20130527T024540,1.2917,0,0,1.2922,0,0
20130527T024541,1.29175,0,0,1.29225,0,0
20130527T024548,1.2917,0,0,1.2922,0,0
20130527T024548,1.29175,0,0,1.29225,0,0
20130527T024559,1.2917,0,0,1.2922,0,0
20130527T024600,1.29175,0,0,1.29225,0,0
20130527T024625,1.29165,0,0,1.29215,0,0
20130527T024627,1.2916,0,0,1.2921,0,0
20130527T024628,1.29168,0,0,1.29218,0,0
20130527T024629,1.29173,0,0,1.29223,0,0
20130527T024638,1.29168,0,0,1.29218,0,0
20130527T024643,1.29163,0,0,1.29213,0,0
20130527T024644,1.29168,0,0,1.29218,0,0
20130527T024644,1.29173,0,0,1.29223,0,0
20130527T024655,1.29177,0,0,1.29227,0,0
20130527T024717,1.29185,0,0,1.29235,0,0
20130527T024730,1.29193,0,0,1.29243,0,0
20130527T024731,1.29188,0,0,1.29238,0,0
20130527T024732,1.29193,0,0,1.29243,0,0
20130527T024732,1.29197,0,0,1.29247,0,0
20130527T024737,1.29205,0,0,1.29255,0,0
20130527T024815,1.2921,0,0,1.2926,0,0
20130527T024826,1.29205,0,0,1.29255,0,0
20130527T024826,1.29197,0,0,1.29247,0,0
20130527T024848,1.29203,0,0,1.29253,0,0
20130527T024939,1.29197,0,0,1.29247,0,0
20130527T024939,1.29193,0,0,1.29243,0,0
20130527T024939,1.29188,0,0,1.29238,0,0
20130527T024941,1.2918,0,0,1.2923,0,0
20130527T024942,1.29188,0,0,1.29238,0,0
20130527T024945,1.29183,0,0,1.29233,0,0
20130527T024958,1.29175,0,0,1.29225,0,0
20130527T024959,1.29168,0,0,1.29218,0,0
20130527T025003,1.29163,0,0,1.29213,0,0
20130527T025003,1.29168,0,0,1.29218,0,0
20130527T025015,1.29173,0,0,1.29223,0,0
20130527T025018,1.2918,0,0,1.2923,0,0
20130527T025019,1.29175,0,0,1.29225,0,0
20130527T025019,1.2918,0,0,1.2923,0,0
20130527T025020,1.29185,0,0,1.29235,0,0
20130527T025025,1.2919,0,0,1.2924,0,0
20130527T025029,1.29195,0,0,1.29245,0,0
20130527T025032,1.29185,0,0,1.29235,0,0
20130527T025032,1.2918,0,0,1.2923,0,0
20130527T025032,1.29175,0,0,1.29225,0,0
20130527T025043,1.29183,0,0,1.29233,0,0
20130527T025043,1.29177,0,0,1.29227,0,0
20130527T025043,1.29183,0,0,1.29233,0,0
20130527T025049,1.29188,0,0,1.29238,0,0
20130527T025054,1.29183,0,0,1.29233,0,0
20130527T025057,1.29188,0,0,1.29238,0,0
20130527T025057,1.29195,0,0,1.29245,0,0
20130527T025058,1.2919,0,0,1.2924,0,0
20130527T025111,1.29185,0,0,1.29235,0,0
20130527T025112,1.29175,0,0,1.29225,0,0
